title,price,brand,category
"Gaming Mouse",120,"Logitech","Accessories"
"Mechanical Keyboard",200,"KeyChron","Accessories"
"LED Monitor",300,"Samsung","Displays"
"USB Hub",50,"Anker","Accessories"
"Webcam",80,"Razer","Cameras"
"Gaming Headset",150,"HyperX","Audio"
"Ergonomic Chair",250,"HermanMiller","Furniture"
"Smartphone Stand",35,"Spigen","Accessories"
"Portable SSD",180,"Sandisk","Storage"
"Bluetooth Speaker",90,"Sony","Audio"
"Noise Cancelling Headphones",270,"Bose","Audio"
"Smartwatch",220,"Apple","Wearables"
"Wireless Charger",60,"Belkin","Accessories"
"Desk Lamp",40,"Philips","Lighting"
"Laptop Cooling Pad",55,"CoolerMaster","Accessories"
"External Hard Drive",140,"Seagate","Storage"
"VR Headset",400,"Meta","VR"
"Gaming Laptop",1200,"ASUS","Computers"
"Tablet",300,"Samsung","Computers"
"Action Camera",330,"GoPro","Cameras"
